"Month","Euro/tonne","US$/tonne"
"01/10/2025","5,115.88","5,953.56"
"01/09/2025","5,967.84","7,004.16"
"01/08/2025","6,518.79","7,592.49"
"01/07/2025","6,315.81","7,373.46"
"01/06/2025","7,290.30","8,401.95"
"01/05/2025","7,975.96","8,989.84"
"01/04/2025","7,281.31","8,169.16"
"01/03/2025","7,471.42","8,079.55"
"01/02/2025","9,396.51","9,783.41"
"01/01/2025","10,338.01","10,709.30"
"01/12/2024","9,887.07","10,353.05"
"01/11/2024","7,475.71","7,930.13"
"01/10/2024","6,043.50","6,582.86"
"01/09/2024","5,783.78","6,421.82"
"01/08/2024","6,165.83","6,791.95"
"01/07/2024","6,606.28","7,164.62"
"01/06/2024","7,783.76","8,380.12"
"01/05/2024","7,182.71","7,763.37"
"01/04/2024","9,208.98","9,876.58"
"01/03/2024","6,841.70","7,435.43"
"01/02/2024","5,226.12","5,640.09"
"01/01/2024","4,087.55","4,452.60"
"01/12/2023","3,896.33","4,250.17"
"01/11/2023","3,786.44","4,096.16"
"01/10/2023","3,495.03","3,691.61"
"01/09/2023","3,395.58","3,625.34"
"01/08/2023","3,157.00","3,444.08"
"01/07/2023","3,028.41","3,348.39"
"01/06/2023","2,880.87","3,124.22"
"01/05/2023","2,673.46","2,904.32"
"01/04/2023","2,574.99","2,823.42"
"01/03/2023","2,491.37","2,669.13"
"01/02/2023","2,418.26","2,587.36"
"01/01/2023","2,357.59","2,540.99"
"01/12/2022","2,319.35","2,455.80"
"01/11/2022","2,333.84","2,382.32"
"01/10/2022","2,281.01","2,245.01"
"01/09/2022","2,241.70","2,219.69"
"01/08/2022","2,242.10","2,270.57"
"01/07/2022","2,200.62","2,239.58"
"01/06/2022","2,197.33","2,321.78"
"01/05/2022","2,237.81","2,366.62"
"01/04/2022","2,273.07","2,455.35"
"01/03/2022","2,234.49","2,461.38"
"01/02/2022","2,247.93","2,550.94"
"01/01/2022","2,179.34","2,467.36"
"01/12/2021","2,109.78","2,384.98"
"01/11/2021","2,098.42","2,393.33"
"01/10/2021","2,213.91","2,567.57"
"01/09/2021","2,173.62","2,558.09"
"01/08/2021","2,111.52","2,484.31"
"01/07/2021","1,968.23","2,327.10"
"01/06/2021","1,965.17","2,366.23"
"01/05/2021","1,986.69","2,412.86"
