"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Angola","AGO",1961,400,0.25,"Normal"
"Angola","AGO",1962,400,0.25,"Normal"
"Angola","AGO",1963,300,0.2143,"Normal"
"Angola","AGO",1964,300,0.2143,"Normal"
"Angola","AGO",1965,400,0.28570002,"Normal"
"Angola","AGO",1966,300,0.2143,"Normal"
"Angola","AGO",1967,400,0.28570002,"Normal"
"Angola","AGO",1968,500,0.25,"Normal"
"Angola","AGO",1969,300,0.15,"Normal"
"Angola","AGO",1970,445,0.11130001,"Normal"
"Angola","AGO",1971,516,0.2457,"Normal"
"Angola","AGO",1972,600,0.28570002,"Normal"
"Angola","AGO",1973,700,0.23330002,"Normal"
"Angola","AGO",1974,500,0.23810002,"Normal"
"Angola","AGO",1975,500,0.23810002,"Normal"
"Angola","AGO",1976,300,0.1429,"Normal"
"Angola","AGO",1977,300,0.1429,"Normal"
"Angola","AGO",1978,200,0.10530001,"Normal"
"Angola","AGO",1979,200,0.10530001,"Normal"
"Angola","AGO",1980,200,0.10530001,"Normal"
"Angola","AGO",1981,200,0.10530001,"Normal"
"Angola","AGO",1982,200,0.10530001,"Normal"
"Angola","AGO",1983,200,0.10530001,"Normal"
"Angola","AGO",1984,100,0.055600002,"Normal"
"Angola","AGO",1985,100,0.055600002,"Normal"
"Angola","AGO",1986,100,0.055600002,"Normal"
"Angola","AGO",1987,100,0.055600002,"Normal"
"Angola","AGO",1988,100,0.055600002,"Normal"
"Angola","AGO",1989,100,0.055600002,"Normal"
"Angola","AGO",1990,92,0.052200004,"Normal"
"Angola","AGO",1991,197.09,0.07980001,"Normal"
"Angola","AGO",1992,200,0.090900004,"Normal"
"Angola","AGO",1993,200,0.077300005,"Normal"
"Angola","AGO",1994,200,0.076900005,"Normal"
"Angola","AGO",1995,200,0.0768,"Normal"
"Angola","AGO",1996,200,0.0772,"Normal"
"Angola","AGO",1997,166.85,0.0719,"Normal"
"Angola","AGO",1998,145.41,0.0787,"Normal"
"Angola","AGO",1999,100,0.0667,"Normal"
"Angola","AGO",2000,200,0.090900004,"Normal"
"Angola","AGO",2001,198.83,0.09550001,"Normal"
"Angola","AGO",2002,190,0.090500005,"Normal"
"Angola","AGO",2003,200,0.090900004,"Normal"
"Angola","AGO",2004,222.12,0.102900006,"Normal"
