typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8933","false","8","kg","8933","false","8933","false","0","false","0","42913.974","42913.974","0","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16993","false","8","kg","16993","false","16993","false","0","false","0","110665.069","110665.069","0","false","true",
"C","A","20130101","2013","52","2013","90","SLB","Solomon Isds","X","Export","360","IDN","Indonesia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","540000","false","8","kg","540000","false","540000","false",,"false",,"1200198.6","1200198.6","0","false","true",
"C","A","20130101","2013","52","2013","120","CMR","Cameroon","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2307320","false","-1","N/A",,"false","2307320","false",,"false",,"5103232","5103232","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12808","false","8","kg","12808","false","12808","false","0","false","0","98226.964","98226.964","0","false","true",
"C","A","20130101","2013","52","2013","90","SLB","Solomon Isds","X","Export","458","MYS","Malaysia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","3011745","false","8","kg","3011745","false","3011745","false",,"false",,"6644778.215","6644778.215","0","false","true",
"C","A","20130101","2013","52","2013","120","CMR","Cameroon","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19847812","false","-1","N/A",,"false","19847812","false",,"false",,"47273309","47273309","0","true","false",
"C","A","20130101","2013","52","2013","156","CHN","China","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100310","false","-1","N/A",,"false","100310","false",,"false",,"260806","260806","0","true","false",
"C","A","20130101","2013","52","2013","170","COL","Colombia","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","425799","false","-1","N/A",,"false","425799","false",,"false",,"1035693","1035693","0","true","false",
"C","A","20130101","2013","52","2013","214","DOM","Dominican Rep.","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","403200","false","-1","N/A",,"false","403200","false",,"false",,"884016","884016","0","true","false",
"C","A","20130101","2013","52","2013","266","GAB","Gabon","X","Export","120","CMR","Cameroon","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12501","false","8","kg","12501","false","12501","false","0","false",,"7661.16","7661.16","0","false","true",
