year,temperature_mean_yearly,temperature_min_yearly,temperature_max_yearly,rain_sum_yearly,rain_mean_yearly,rain_min_yearly,rain_max_yearly
1980,24.85027322404372,22.0,28.2,2010.2,5.492349726775957,0.0,33.7
1981,24.596438356164384,19.0,29.8,1712.7,4.692328767123287,0.0,41.4
1982,24.474794520547942,21.3,28.5,1748.6,4.790684931506849,0.0,23.9
1983,25.091506849315067,22.3,28.6,1971.7,5.401917808219178,0.0,42.4
1984,24.248360655737702,21.3,27.9,1950.3,5.328688524590164,0.0,28.6
1985,24.21260273972603,18.0,28.3,2040.7,5.5909589041095895,0.0,34.5
1986,24.263835616438353,21.5,27.7,1920.7,5.262191780821918,0.0,31.5
1987,25.355890410958903,22.4,29.2,1673.6,4.585205479452054,0.0,38.4
1988,24.772677595628412,21.1,29.7,2055.2,5.615300546448087,0.0,38.8
1989,24.53041095890411,20.7,28.9,1995.1,5.466027397260274,0.0,34.3
1990,24.829315068493152,21.8,28.2,1694.3,4.641917808219178,0.0,34.9
1991,24.613150684931504,22.0,28.1,1745.8,4.783013698630137,0.0,25.8
1992,24.55983606557377,20.8,27.3,2039.0,5.5710382513661205,0.0,62.2
1993,24.57452054794521,21.2,27.8,1960.4,5.370958904109589,0.0,38.1
1994,24.648493150684935,18.7,28.9,1929.9,5.2873972602739725,0.0,44.0
1995,25.016164383561645,21.8,29.7,1894.5,5.19041095890411,0.0,35.5
1996,24.60136612021858,19.4,28.7,1851.3,5.058196721311475,0.0,33.4
1997,25.242191780821916,21.5,30.9,1667.2,4.567671232876712,0.0,36.7
1998,25.90164383561644,22.7,29.4,1532.9,4.1997260273972605,0.0,39.0
1999,24.843287671232876,21.4,29.7,1801.4,4.935342465753425,0.0,50.9
2000,24.831967213114755,21.0,29.5,1844.1,5.038524590163934,0.0,66.0
2001,24.94438356164384,22.2,28.8,1717.1,4.704383561643835,0.0,33.3
2002,25.683287671232875,21.9,29.7,1386.8,3.7994520547945205,0.0,38.6
2003,24.946849315068494,22.0,29.0,1722.1,4.718082191780821,0.0,30.3
2004,25.071584699453553,22.0,28.8,1951.3,5.331420765027322,0.0,43.6
2005,25.343013698630138,20.5,30.6,2183.7,5.982739726027397,0.0,50.7
2006,25.044109589041096,21.5,29.5,1759.4,4.82027397260274,0.0,41.8
2007,25.377808219178082,22.3,29.0,1635.4,4.48054794520548,0.0,32.3
2008,25.078688524590163,21.6,29.9,2006.3,5.481693989071038,0.0,71.4
2009,25.001643835616438,22.0,28.9,2003.8,5.48986301369863,0.0,38.3
2010,25.9572602739726,21.7,30.3,1843.5,5.050684931506849,0.0,84.2
2011,25.088219178082195,21.6,30.8,1917.5,5.2534246575342465,0.0,47.0
2012,25.1396174863388,21.6,30.2,1823.9,4.983333333333333,0.0,49.9
2013,25.236712328767123,21.4,29.0,2129.7,5.834794520547945,0.0,130.4
2014,25.40767123287671,21.2,29.4,1684.1,4.613972602739726,0.0,39.2
2015,25.85753424657534,22.2,30.7,1418.8,3.887123287671233,0.0,40.7
2016,26.01775956284153,22.8,29.8,1736.2,4.743715846994536,0.0,67.4
2017,25.384931506849316,21.8,30.0,1707.1,4.676986301369863,0.0,35.1
2018,24.936712328767122,22.1,28.3,1792.2,4.91013698630137,0.0,56.2
2019,25.2441095890411,22.9,29.4,1629.9,4.465479452054795,0.0,105.3
2020,25.28087431693989,22.0,29.9,1699.4,4.643169398907104,0.0,62.6
2021,24.965205479452052,20.9,29.2,2189.7,5.99917808219178,0.0,90.4
2022,25.328767123287673,19.6,29.7,1692.6000000000001,4.637260273972603,0.0,37.6
2023,25.623287671232877,21.7,31.6,1569.5,4.3,0.0,51.5
2024,25.813387978142078,22.5,30.6,1812.0,4.950819672131147,0.0,53.1
2025,23.9,23.9,23.9,29.0,29.0,29.0,29.0
