year,temperature_mean_yearly,temperature_min_yearly,temperature_max_yearly,rain_sum_yearly,rain_mean_yearly,rain_min_yearly,rain_max_yearly
1980,25.62704918032787,21.4,29.5,1218.7,3.3297814207650274,0.0,58.6
1981,26.022739726027396,21.4,29.8,936.5,2.5657534246575344,0.0,39.9
1982,25.852876712328765,22.0,29.8,1062.9,2.9120547945205484,0.0,38.3
1983,26.372054794520547,22.4,31.3,793.3,2.1734246575342464,0.0,33.4
1984,26.18606557377049,22.8,30.6,1229.8,3.360109289617486,0.0,24.0
1985,25.867123287671234,21.5,30.3,1240.4,3.398356164383562,0.0,34.5
1986,25.964931506849318,21.8,29.9,1136.9,3.1147945205479455,0.0,28.1
1987,26.69232876712329,22.3,30.4,1234.8,3.383013698630137,0.0,30.7
1988,26.181147540983606,22.0,30.8,1256.3,3.4325136612021856,0.0,30.9
1989,26.155616438356162,22.1,30.1,1229.5,3.3684931506849316,0.0,43.5
1990,26.272876712328767,22.0,31.6,1175.4,3.22027397260274,0.0,64.0
1991,26.08712328767123,22.0,30.7,1247.4,3.4175342465753427,0.0,62.2
1992,25.979234972677595,22.0,30.1,1221.4,3.3371584699453556,0.0,66.6
1993,26.064383561643837,22.2,29.5,1238.6,3.393424657534246,0.0,92.2
1994,26.299178082191784,21.9,29.9,1167.9,3.1997260273972605,0.0,95.1
1995,26.283561643835615,21.8,30.3,1432.0,3.9232876712328766,0.0,56.1
1996,26.21448087431694,21.8,29.2,1066.6,2.914207650273224,0.0,27.0
1997,26.234246575342464,22.0,31.3,1167.2,3.197808219178082,0.0,67.6
1998,26.766301369863015,21.2,33.5,1182.6,3.2399999999999998,0.0,71.9
1999,26.065753424657533,21.6,30.2,1294.3,3.546027397260274,0.0,81.0
2000,26.228415300546448,21.7,30.9,1128.3,3.0827868852459015,0.0,80.3
2001,26.343013698630138,21.5,31.1,898.8,2.4624657534246572,0.0,43.4
2002,26.375616438356165,22.4,30.5,1083.3,2.967945205479452,0.0,82.9
2003,26.489863013698628,21.8,30.9,1388.6,3.8043835616438355,0.0,212.1
2004,26.554098360655736,21.8,31.1,1009.6999999999999,2.758743169398907,0.0,100.8
2005,26.38986301369863,22.0,30.6,1156.7,3.169041095890411,0.0,43.9
2006,26.655068493150686,22.2,30.2,933.8,2.5583561643835617,0.0,52.2
2007,26.510136986301372,21.6,31.8,1416.4,3.8805479452054796,0.0,66.7
2008,26.42568306010929,21.7,30.3,1163.4,3.1786885245901644,0.0,51.5
2009,26.614520547945204,21.4,30.5,1114.1,3.0523287671232873,0.0,39.3
2010,26.813698630136987,22.1,30.9,1153.9,3.161369863013699,0.0,78.5
2011,26.42109589041096,22.2,30.8,1063.3,2.9131506849315065,0.0,39.4
2012,26.291803278688523,22.3,30.6,1015.3,2.7740437158469944,0.0,44.6
2013,26.462191780821918,22.0,31.0,905.2,2.48,0.0,67.1
2014,26.516164383561645,22.2,30.5,1157.4,3.170958904109589,0.0,60.2
2015,26.69150684931507,22.6,30.1,994.0,2.723287671232877,0.0,72.2
2016,27.105737704918035,22.7,32.2,1068.5,2.919398907103825,0.0,135.1
2017,26.43780821917808,22.4,30.2,1103.3,3.022739726027397,0.0,38.1
2018,26.00794520547945,22.0,30.5,1417.0,3.882191780821918,0.0,66.1
2019,26.199178082191782,23.1,30.8,1678.3,4.598082191780822,0.0,85.9
2020,26.284153005464482,22.6,31.0,1018.3,2.7822404371584697,0.0,41.4
2021,26.37890410958904,23.1,30.5,1189.7,3.2594520547945205,0.0,60.4
2022,25.64246575342466,22.2,30.5,1557.3,4.266575342465753,0.0,74.2
2023,26.18904109589041,22.7,30.7,1235.7,3.3854794520547946,0.0,35.1
2024,26.62704918032787,23.2,31.3,1273.6,3.4797814207650273,0.0,177.8
2025,28.0,28.0,28.0,0.0,0.0,0.0,0.0
