year,temperature_mean_yearly,temperature_min_yearly,temperature_max_yearly,rain_sum_yearly,rain_mean_yearly,rain_min_yearly,rain_max_yearly
1980,24.33142076502732,18.5,30.1,1267.0,3.4617486338797816,0.0,24.7
1981,24.166301369863017,19.3,30.2,1171.5,3.2095890410958905,0.0,48.1
1982,24.005753424657534,19.8,29.7,1230.9,3.372328767123288,0.0,25.0
1983,24.429589041095888,17.2,31.1,962.7,2.6375342465753424,0.0,28.1
1984,24.122677595628414,20.3,28.9,1374.2,3.7546448087431696,0.0,25.3
1985,24.254794520547946,20.2,29.6,1299.2,3.5594520547945208,0.0,55.4
1986,24.359726027397258,20.0,30.7,1259.1,3.4495890410958903,0.0,74.0
1987,24.99232876712329,20.7,31.1,1563.8,4.2843835616438355,0.0,104.3
1988,24.52540983606557,19.7,30.9,1549.7,4.234153005464481,0.0,105.6
1989,23.947123287671236,18.5,29.8,1415.3,3.877534246575342,0.0,92.5
1990,24.755342465753426,19.3,30.9,1157.8,3.1720547945205477,0.0,89.3
1991,24.382465753424658,18.9,29.7,1334.3,3.6556164383561645,0.0,31.9
1992,23.681147540983606,18.2,29.4,1359.8,3.7153005464480873,0.0,66.3
1993,24.256164383561643,17.3,29.5,1325.8,3.6323287671232873,0.0,57.8
1994,24.00027397260274,19.4,30.8,1603.8,4.393972602739726,0.0,64.9
1995,24.437260273972605,19.8,30.4,1353.7,3.7087671232876716,0.0,54.5
1996,24.689071038251367,20.6,30.0,1372.6,3.7502732240437155,0.0,61.3
1997,24.134794520547945,20.5,29.0,1527.0,4.183561643835616,0.0,38.9
1998,24.836438356164383,20.1,31.4,1499.1,4.107123287671232,0.0,69.3
1999,24.613698630136987,19.7,30.6,1435.9,3.9339726027397264,0.0,41.8
2000,24.485245901639345,20.2,30.8,1208.5,3.301912568306011,0.0,42.4
2001,24.463287671232877,19.7,29.6,1213.5,3.324657534246575,0.0,77.5
2002,24.525753424657534,19.4,29.9,1177.2,3.225205479452055,0.0,26.4
2003,25.078356164383564,20.4,30.0,1104.8,3.026849315068493,0.0,36.2
2004,24.96912568306011,20.2,30.9,1345.8,3.677049180327869,0.0,43.0
2005,25.28767123287671,18.8,31.4,1202.8,3.2953424657534245,0.0,49.6
2006,25.17945205479452,20.0,30.5,1310.5,3.5904109589041098,0.0,41.5
2007,24.66520547945205,19.6,31.1,1199.9,3.287397260273973,0.0,39.7
2008,24.36530054644809,18.7,29.8,1391.7,3.802459016393443,0.0,90.6
2009,24.983835616438355,20.5,30.8,1332.1,3.64958904109589,0.0,36.2
2010,25.081643835616436,20.1,31.1,1512.4,4.143561643835617,0.0,139.2
2011,24.752328767123288,19.8,30.6,1063.5,2.9136986301369863,0.0,22.5
2012,24.519945355191254,19.7,30.2,1438.6,3.9306010928961745,0.0,63.2
2013,24.83342465753425,20.1,30.3,1278.6,3.5030136986301366,0.0,47.3
2014,24.763287671232877,20.0,30.8,1450.5,3.973972602739726,0.0,140.7
2015,24.86027397260274,18.4,30.7,1056.2,2.8936986301369862,0.0,35.3
2016,24.994535519125684,20.7,30.9,1341.4,3.665027322404372,0.0,42.8
2017,24.685479452054796,20.4,30.1,974.9,2.670958904109589,0.0,42.9
2018,24.225753424657533,19.9,29.4,1170.1,3.205753424657534,0.0,62.9
2019,24.176712328767124,20.0,29.7,1123.7,3.0786301369863014,0.0,29.1
2020,23.63551912568306,16.7,28.4,803.4,2.1950819672131145,0.0,28.7
2021,23.884657534246575,18.8,28.5,741.9,2.0326027397260273,0.0,49.0
2022,23.227945205479454,18.9,27.8,1100.2,3.014246575342466,0.0,40.3
2023,23.933698630136984,19.7,27.3,870.1,2.3838356164383563,0.0,28.2
2024,24.11939890710383,19.8,30.0,745.6,2.0371584699453553,0.0,38.6
2025,25.3,25.3,25.3,0.0,0.0,0.0,0.0
