year,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall
1980,24.33142076502732,18.5,30.1,0.0,24.7,3.4617486338797816,1267.0
1981,24.166301369863017,19.3,30.2,0.0,48.1,3.2095890410958905,1171.5
1982,24.005753424657534,19.8,29.7,0.0,25.0,3.372328767123288,1230.9
1983,24.429589041095888,17.2,31.1,0.0,28.1,2.6375342465753424,962.7
1984,24.122677595628414,20.3,28.9,0.0,25.3,3.7546448087431696,1374.2
1985,24.254794520547946,20.2,29.6,0.0,55.4,3.5594520547945208,1299.2
1986,24.359726027397258,20.0,30.7,0.0,74.0,3.4495890410958903,1259.1
1987,24.99232876712329,20.7,31.1,0.0,104.3,4.2843835616438355,1563.8
1988,24.52540983606557,19.7,30.9,0.0,105.6,4.234153005464481,1549.7
1989,23.947123287671236,18.5,29.8,0.0,92.5,3.877534246575342,1415.3
1990,24.755342465753426,19.3,30.9,0.0,89.3,3.1720547945205477,1157.8
1991,24.382465753424658,18.9,29.7,0.0,31.9,3.6556164383561645,1334.3
1992,23.681147540983606,18.2,29.4,0.0,66.3,3.7153005464480873,1359.8
1993,24.256164383561643,17.3,29.5,0.0,57.8,3.6323287671232873,1325.8
1994,24.00027397260274,19.4,30.8,0.0,64.9,4.393972602739726,1603.8
1995,24.437260273972605,19.8,30.4,0.0,54.5,3.7087671232876716,1353.7
1996,24.689071038251367,20.6,30.0,0.0,61.3,3.7502732240437155,1372.6
1997,24.134794520547945,20.5,29.0,0.0,38.9,4.183561643835616,1527.0
1998,24.836438356164383,20.1,31.4,0.0,69.3,4.107123287671232,1499.1
1999,24.613698630136987,19.7,30.6,0.0,41.8,3.9339726027397264,1435.9
2000,24.485245901639345,20.2,30.8,0.0,42.4,3.301912568306011,1208.5
2001,24.463287671232877,19.7,29.6,0.0,77.5,3.324657534246575,1213.5
2002,24.525753424657534,19.4,29.9,0.0,26.4,3.225205479452055,1177.2
2003,25.078356164383564,20.4,30.0,0.0,36.2,3.026849315068493,1104.8
2004,24.96912568306011,20.2,30.9,0.0,43.0,3.677049180327869,1345.8
2005,25.28767123287671,18.8,31.4,0.0,49.6,3.2953424657534245,1202.8
2006,25.17945205479452,20.0,30.5,0.0,41.5,3.5904109589041098,1310.5
2007,24.66520547945205,19.6,31.1,0.0,39.7,3.287397260273973,1199.9
2008,24.36530054644809,18.7,29.8,0.0,90.6,3.802459016393443,1391.7
2009,24.983835616438355,20.5,30.8,0.0,36.2,3.64958904109589,1332.1
2010,25.081643835616436,20.1,31.1,0.0,139.2,4.143561643835617,1512.4
2011,24.752328767123288,19.8,30.6,0.0,22.5,2.9136986301369863,1063.5
2012,24.519945355191254,19.7,30.2,0.0,63.2,3.9306010928961745,1438.6
2013,24.83342465753425,20.1,30.3,0.0,47.3,3.5030136986301366,1278.6
2014,24.763287671232877,20.0,30.8,0.0,140.7,3.973972602739726,1450.5
2015,24.86027397260274,18.4,30.7,0.0,35.3,2.8936986301369862,1056.2
2016,24.994535519125684,20.7,30.9,0.0,42.8,3.665027322404372,1341.4
2017,24.685479452054796,20.4,30.1,0.0,42.9,2.670958904109589,974.9
2018,24.225753424657533,19.9,29.4,0.0,62.9,3.205753424657534,1170.1
2019,24.176712328767124,20.0,29.7,0.0,29.1,3.0786301369863014,1123.7
2020,23.63551912568306,16.7,28.4,0.0,28.7,2.1950819672131145,803.4
2021,23.884657534246575,18.8,28.5,0.0,49.0,2.0326027397260273,741.9
2022,23.227945205479454,18.9,27.8,0.0,40.3,3.014246575342466,1100.2
2023,23.933698630136984,19.7,27.3,0.0,28.2,2.3838356164383563,870.1
2024,24.11939890710383,19.8,30.0,0.0,38.6,2.0371584699453553,745.6
2025,25.3,25.3,25.3,0.0,0.0,0.0,0.0
