year,temperature_mean_yearly,temperature_min_yearly,temperature_max_yearly,rain_sum_yearly,rain_mean_yearly,rain_min_yearly,rain_max_yearly
1980,26.283879781420765,23.7,29.5,1688.9,4.61448087431694,0.0,52.6
1981,26.010410958904107,23.5,28.9,1887.7,5.1717808219178085,0.0,35.2
1982,25.834246575342465,23.6,29.1,1572.1,4.307123287671232,0.0,42.3
1983,26.32082191780822,23.8,29.2,2063.7,5.653972602739725,0.0,32.9
1984,25.90382513661202,23.3,29.3,2337.4,6.386338797814208,0.0,31.9
1985,26.134794520547945,23.7,29.0,1887.9,5.172328767123288,0.0,51.0
1986,25.990684931506852,24.0,28.3,2017.9,5.528493150684932,0.0,30.9
1987,26.215890410958902,24.1,29.5,1862.6,5.103013698630137,0.0,44.3
1988,26.147540983606557,23.8,29.9,2329.0,6.363387978142076,0.0,25.4
1989,26.238904109589043,23.8,29.6,1910.9,5.235342465753425,0.0,83.0
1990,26.57780821917808,23.9,30.7,1461.8,4.0049315068493145,0.0,25.3
1991,26.102465753424656,23.6,28.9,1490.3,4.083013698630137,0.0,41.2
1992,26.411475409836065,23.5,29.5,1813.2,4.954098360655737,0.0,59.6
1993,26.09178082191781,23.8,28.8,1594.6,4.368767123287671,0.0,47.0
1994,25.938904109589043,23.4,30.3,1891.6,5.182465753424657,0.0,64.2
1995,26.013972602739727,23.3,28.5,2303.9,6.312054794520548,0.0,76.4
1996,26.325136612021858,23.8,28.8,1832.8,5.007650273224043,0.0,36.6
1997,26.09178082191781,23.8,29.0,1203.4,3.2969863013698633,0.0,31.6
1998,26.733972602739726,24.1,29.3,2435.9,6.673698630136987,0.0,32.1
1999,25.946027397260274,23.4,28.9,2235.2,6.123835616438356,0.0,56.5
2000,25.95792349726776,23.2,28.5,2314.1,6.322677595628415,0.0,44.1
2001,26.2427397260274,22.9,29.7,1770.4,4.85041095890411,0.0,31.5
2002,26.16794520547945,23.5,29.3,1678.4,4.598356164383562,0.0,37.3
2003,26.30109589041096,23.5,29.6,2138.1,5.857808219178082,0.0,49.5
2004,26.339617486338796,23.2,29.8,1564.4,4.274316939890711,0.0,27.9
2005,26.62383561643836,24.8,29.2,1700.5,4.658904109589041,0.0,31.9
2006,26.244383561643836,22.9,30.0,1587.0,4.347945205479452,0.0,51.1
2007,26.229315068493154,22.3,29.9,2053.1,5.624931506849315,0.0,56.9
2008,26.04863387978142,23.0,28.9,2065.4,5.643169398907104,0.0,31.0
2009,26.627945205479453,23.8,30.0,1392.9,3.816164383561644,0.0,53.5
2010,26.404931506849312,24.0,28.7,2826.3,7.743287671232877,0.0,53.1
2011,26.234520547945205,23.5,29.1,1671.2,4.578630136986302,0.0,31.7
2012,26.18032786885246,23.4,29.1,1860.0,5.081967213114754,0.0,53.8
2013,26.361643835616437,23.4,29.2,2205.4,6.042191780821918,0.0,53.6
2014,26.263835616438353,23.7,29.3,1676.5,4.593150684931507,0.0,51.5
2015,26.300821917808218,23.7,30.6,1523.5,4.173972602739726,0.0,48.0
2016,26.97459016393443,24.5,29.3,2218.0,6.060109289617486,0.0,87.0
2017,26.695342465753424,23.9,28.6,2017.6,5.527671232876712,0.0,60.6
2018,26.61123287671233,24.1,28.8,1669.1,4.572876712328767,0.0,47.6
2019,26.60493150684931,24.0,29.3,2124.5,5.82054794520548,0.0,70.0
2020,26.820491803278685,24.9,28.7,2715.7,7.419945355191256,0.0,50.5
2021,26.63150684931507,24.8,28.7,2147.9,5.884657534246576,0.0,64.5
2022,26.694246575342465,25.0,28.4,2389.3,6.546027397260274,0.0,53.2
2023,27.144109589041097,25.0,29.8,1508.5,4.132876712328767,0.0,48.9
2024,27.408196721311473,24.8,29.7,2098.6,5.7338797814207645,0.0,75.6
2025,26.8,26.8,26.8,8.4,8.4,8.4,8.4
