year,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall
1980,26.283879781420765,23.7,29.5,0.0,52.6,4.61448087431694,1688.9
1981,26.010410958904107,23.5,28.9,0.0,35.2,5.1717808219178085,1887.7
1982,25.834246575342465,23.6,29.1,0.0,42.3,4.307123287671232,1572.1
1983,26.32082191780822,23.8,29.2,0.0,32.9,5.653972602739725,2063.7
1984,25.90382513661202,23.3,29.3,0.0,31.9,6.386338797814208,2337.4
1985,26.134794520547945,23.7,29.0,0.0,51.0,5.172328767123288,1887.9
1986,25.990684931506852,24.0,28.3,0.0,30.9,5.528493150684932,2017.9
1987,26.215890410958902,24.1,29.5,0.0,44.3,5.103013698630137,1862.6
1988,26.147540983606557,23.8,29.9,0.0,25.4,6.363387978142076,2329.0
1989,26.238904109589043,23.8,29.6,0.0,83.0,5.235342465753425,1910.9
1990,26.57780821917808,23.9,30.7,0.0,25.3,4.0049315068493145,1461.8
1991,26.102465753424656,23.6,28.9,0.0,41.2,4.083013698630137,1490.3
1992,26.411475409836065,23.5,29.5,0.0,59.6,4.954098360655737,1813.2
1993,26.09178082191781,23.8,28.8,0.0,47.0,4.368767123287671,1594.6
1994,25.938904109589043,23.4,30.3,0.0,64.2,5.182465753424657,1891.6
1995,26.013972602739727,23.3,28.5,0.0,76.4,6.312054794520548,2303.9
1996,26.325136612021858,23.8,28.8,0.0,36.6,5.007650273224043,1832.8
1997,26.09178082191781,23.8,29.0,0.0,31.6,3.2969863013698633,1203.4
1998,26.733972602739726,24.1,29.3,0.0,32.1,6.673698630136987,2435.9
1999,25.946027397260274,23.4,28.9,0.0,56.5,6.123835616438356,2235.2
2000,25.95792349726776,23.2,28.5,0.0,44.1,6.322677595628415,2314.1
2001,26.2427397260274,22.9,29.7,0.0,31.5,4.85041095890411,1770.4
2002,26.16794520547945,23.5,29.3,0.0,37.3,4.598356164383562,1678.4
2003,26.30109589041096,23.5,29.6,0.0,49.5,5.857808219178082,2138.1
2004,26.339617486338796,23.2,29.8,0.0,27.9,4.274316939890711,1564.4
2005,26.62383561643836,24.8,29.2,0.0,31.9,4.658904109589041,1700.5
2006,26.244383561643836,22.9,30.0,0.0,51.1,4.347945205479452,1587.0
2007,26.229315068493154,22.3,29.9,0.0,56.9,5.624931506849315,2053.1
2008,26.04863387978142,23.0,28.9,0.0,31.0,5.643169398907104,2065.4
2009,26.627945205479453,23.8,30.0,0.0,53.5,3.816164383561644,1392.9
2010,26.404931506849312,24.0,28.7,0.0,53.1,7.743287671232877,2826.3
2011,26.234520547945205,23.5,29.1,0.0,31.7,4.578630136986302,1671.2
2012,26.18032786885246,23.4,29.1,0.0,53.8,5.081967213114754,1860.0
2013,26.361643835616437,23.4,29.2,0.0,53.6,6.042191780821918,2205.4
2014,26.263835616438353,23.7,29.3,0.0,51.5,4.593150684931507,1676.5
2015,26.300821917808218,23.7,30.6,0.0,48.0,4.173972602739726,1523.5
2016,26.97459016393443,24.5,29.3,0.0,87.0,6.060109289617486,2218.0
2017,26.695342465753424,23.9,28.6,0.0,60.6,5.527671232876712,2017.6
2018,26.61123287671233,24.1,28.8,0.0,47.6,4.572876712328767,1669.1
2019,26.60493150684931,24.0,29.3,0.0,70.0,5.82054794520548,2124.5
2020,26.820491803278685,24.9,28.7,0.0,50.5,7.419945355191256,2715.7
2021,26.63150684931507,24.8,28.7,0.0,64.5,5.884657534246576,2147.9
2022,26.694246575342465,25.0,28.4,0.0,53.2,6.546027397260274,2389.3
2023,27.144109589041097,25.0,29.8,0.0,48.9,4.132876712328767,1508.5
2024,27.408196721311473,24.8,29.7,0.0,75.6,5.7338797814207645,2098.6
2025,26.8,26.8,26.8,8.4,8.4,8.4,8.4
