latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.9789104,-5.533722,255.0,0,GMT,GMT

time,sunshine_duration (s)
1980-01-01,39212.50
1980-01-02,39243.74
1980-01-03,39274.47
1980-01-04,39304.89
1980-01-05,39335.70
1980-01-06,39366.82
1980-01-07,33955.39
1980-01-08,30444.47
1980-01-09,39448.78
1980-01-10,39462.29
1980-01-11,39476.44
1980-01-12,39491.20
1980-01-13,39076.23
1980-01-14,24060.05
1980-01-15,33897.52
1980-01-16,3364.40
1980-01-17,32638.98
1980-01-18,31567.10
1980-01-19,38907.24
1980-01-20,28940.90
1980-01-21,36000.00
1980-01-22,33020.41
1980-01-23,30074.50
1980-01-24,33988.34
1980-01-25,36661.48
1980-01-26,39168.77
1980-01-27,32869.35
1980-01-28,39396.25
1980-01-29,39396.68
1980-01-30,34601.29
1980-01-31,39057.91
1980-02-01,38246.44
1980-02-02,29107.21
1980-02-03,38735.92
1980-02-04,39418.91
1980-02-05,39425.70
1980-02-06,39433.34
1980-02-07,39441.80
1980-02-08,39451.05
1980-02-09,39461.09
1980-02-10,39471.90
1980-02-11,34321.09
1980-02-12,29348.30
1980-02-13,39247.07
1980-02-14,34195.07
1980-02-15,37102.32
1980-02-16,39554.39
1980-02-17,34923.86
1980-02-18,36830.05
1980-02-19,35955.59
1980-02-20,38063.85
1980-02-21,35749.69
1980-02-22,36000.00
1980-02-23,28550.23
1980-02-24,39007.22
1980-02-25,39600.00
1980-02-26,39600.00
1980-02-27,39600.00
1980-02-28,38528.13
1980-02-29,37395.31
1980-03-01,33237.29
1980-03-02,37740.20
1980-03-03,30732.03
1980-03-04,39051.16
1980-03-05,39600.00
1980-03-06,38005.14
1980-03-07,39600.00
1980-03-08,38490.83
1980-03-09,18723.05
1980-03-10,16034.64
1980-03-11,39600.00
1980-03-12,38675.45
1980-03-13,34597.53
1980-03-14,38997.72
1980-03-15,36000.00
1980-03-16,39600.00
1980-03-17,39600.00
1980-03-18,38095.03
1980-03-19,39516.75
1980-03-20,38694.42
1980-03-21,23297.35
1980-03-22,25236.28
1980-03-23,31357.69
1980-03-24,30736.82
1980-03-25,38251.81
1980-03-26,28550.70
1980-03-27,39600.00
1980-03-28,35690.20
1980-03-29,33994.34
1980-03-30,39577.92
1980-03-31,33218.62
1980-04-01,39866.35
1980-04-02,39600.00
1980-04-03,39600.00
1980-04-04,26184.16
1980-04-05,35871.84
1980-04-06,39600.00
1980-04-07,40137.09
1980-04-08,26133.18
1980-04-09,37602.49
1980-04-10,37341.45
1980-04-11,29015.03
1980-04-12,30908.80
1980-04-13,33508.30
1980-04-14,39736.41
1980-04-15,32400.00
1980-04-16,37065.14
1980-04-17,40663.88
1980-04-18,39245.88
1980-04-19,40141.62
1980-04-20,38150.71
1980-04-21,39031.12
1980-04-22,33618.52
1980-04-23,29013.65
1980-04-24,24459.91
1980-04-25,40027.27
1980-04-26,40585.28
1980-04-27,35869.82
1980-04-28,35399.84
1980-04-29,39600.00
1980-04-30,34521.93
1980-05-01,38787.27
1980-05-02,39786.80
1980-05-03,30123.38
1980-05-04,38393.48
1980-05-05,37964.08
1980-05-06,30863.19
1980-05-07,35982.74
1980-05-08,30014.12
1980-05-09,41323.11
1980-05-10,29079.91
1980-05-11,27007.98
1980-05-12,21429.07
1980-05-13,31729.22
1980-05-14,32521.22
1980-05-15,39574.54
1980-05-16,22904.71
1980-05-17,34982.78
1980-05-18,17658.38
1980-05-19,36690.46
1980-05-20,29002.94
1980-05-21,29999.41
1980-05-22,39191.67
1980-05-23,23523.53
1980-05-24,29200.06
1980-05-25,24993.22
1980-05-26,21104.09
1980-05-27,0.00
1980-05-28,27114.51
1980-05-29,22762.66
1980-05-30,23280.05
1980-05-31,33808.67
1980-06-01,26207.53
1980-06-02,26611.56
1980-06-03,30513.42
1980-06-04,32932.57
1980-06-05,31442.13
1980-06-06,40519.46
1980-06-07,40033.01
1980-06-08,40764.09
1980-06-09,27343.72
1980-06-10,24399.70
1980-06-11,36230.17
1980-06-12,29345.79
1980-06-13,37504.91
1980-06-14,36125.18
1980-06-15,30862.55
1980-06-16,28372.16
1980-06-17,28944.65
1980-06-18,33089.27
1980-06-19,14333.14
1980-06-20,28250.33
1980-06-21,34552.15
1980-06-22,35464.10
1980-06-23,35836.78
1980-06-24,22055.46
1980-06-25,37860.37
1980-06-26,29480.48
1980-06-27,34837.43
1980-06-28,32606.98
1980-06-29,17963.30
1980-06-30,26250.39
1980-07-01,3600.00
1980-07-02,30835.68
1980-07-03,18080.03
1980-07-04,21022.95
1980-07-05,24371.00
1980-07-06,11328.12
1980-07-07,18167.71
1980-07-08,9698.22
1980-07-09,33878.25
1980-07-10,26913.61
1980-07-11,23260.78
1980-07-12,27190.64
1980-07-13,275.35
1980-07-14,0.00
1980-07-15,0.00
1980-07-16,13588.42
1980-07-17,23522.09
1980-07-18,10452.78
1980-07-19,34419.16
1980-07-20,28497.23
1980-07-21,8749.52
1980-07-22,19144.85
1980-07-23,35463.46
1980-07-24,13471.80
1980-07-25,0.00
1980-07-26,11946.92
1980-07-27,17113.24
1980-07-28,19069.94
1980-07-29,31844.57
1980-07-30,37003.60
1980-07-31,185.83
1980-08-01,11349.10
1980-08-02,25958.84
1980-08-03,21877.32
1980-08-04,20352.49
1980-08-05,23998.55
1980-08-06,26253.20
1980-08-07,21672.26
1980-08-08,38912.15
1980-08-09,22454.45
1980-08-10,15492.62
1980-08-11,17063.10
1980-08-12,36000.00
1980-08-13,31450.66
1980-08-14,14641.77
1980-08-15,12433.47
1980-08-16,28105.93
1980-08-17,0.00
1980-08-18,14417.29
1980-08-19,22488.72
1980-08-20,30114.52
1980-08-21,18294.69
1980-08-22,4018.40
1980-08-23,30390.58
1980-08-24,29431.45
1980-08-25,11332.40
1980-08-26,19858.93
1980-08-27,11675.69
1980-08-28,39854.47
1980-08-29,8719.68
1980-08-30,27719.53
1980-08-31,16529.15
1980-09-01,26277.46
1980-09-02,2853.57
1980-09-03,39600.00
1980-09-04,34860.62
1980-09-05,17001.37
1980-09-06,26721.87
1980-09-07,28527.41
1980-09-08,22996.76
1980-09-09,34256.14
1980-09-10,38747.36
1980-09-11,18710.58
1980-09-12,24373.43
1980-09-13,39566.34
1980-09-14,40237.60
1980-09-15,36020.70
1980-09-16,40577.07
1980-09-17,21600.00
1980-09-18,34554.23
1980-09-19,41056.14
1980-09-20,36629.02
1980-09-21,36693.89
1980-09-22,29558.68
1980-09-23,7619.94
1980-09-24,35639.18
1980-09-25,40544.90
1980-09-26,34274.41
1980-09-27,33255.45
1980-09-28,27038.21
1980-09-29,29433.92
1980-09-30,40164.13
1980-10-01,31829.74
1980-10-02,35525.50
1980-10-03,22534.68
1980-10-04,37370.30
1980-10-05,25723.73
1980-10-06,33113.66
1980-10-07,36101.48
1980-10-08,40025.94
1980-10-09,38074.00
1980-10-10,36688.26
1980-10-11,33367.05
1980-10-12,40468.21
1980-10-13,38253.15
1980-10-14,33746.28
1980-10-15,38752.74
1980-10-16,35002.42
1980-10-17,39735.33
1980-10-18,36313.70
1980-10-19,8951.75
1980-10-20,33847.84
1980-10-21,36736.80
1980-10-22,28145.43
1980-10-23,30439.33
1980-10-24,30294.31
1980-10-25,33447.41
1980-10-26,32971.85
1980-10-27,31463.29
1980-10-28,31007.51
1980-10-29,34728.98
1980-10-30,28373.54
1980-10-31,13413.64
1980-11-01,36726.93
1980-11-02,36727.50
1980-11-03,37812.51
1980-11-04,34948.21
1980-11-05,36747.95
1980-11-06,37523.61
1980-11-07,35943.33
1980-11-08,30932.28
1980-11-09,28445.54
1980-11-10,29656.16
