refYear,partnerISO,partnerDesc,fobvalue,netWgt,qtyUnitAbbr,valuePerUnit
1991,IDN,Indonesia,266634,300000,kg,0.88878
1994,BRA,Brazil,30435,25000,kg,1.2174
1995,BRA,Brazil,34180,120000,kg,0.284833333333333
1995,BRA,Brazil,7923129,5008777,kg,1.58184902222638
1995,NGA,Nigeria,45275,20617,kg,2.19600329824902
1995,BRA,Brazil,78089,62500,kg,1.249424
1996,CIV,C矌e d'Ivoire,3286921,2022625,kg,1.62507681849082
1997,IDN,Indonesia,588624,350000,kg,1.68178285714286
1997,BRA,Brazil,29290774,17550000,kg,1.66898997150997
1997,IDN,Indonesia,4354237,3053062,kg,1.42618689040707
1997,GHA,Ghana,1034864,730000,kg,1.41762191780822
1997,CIV,C矌e d'Ivoire,329228,350000,kg,0.940651428571429
1997,IDN,Indonesia,15603,10000,kg,1.5603
1997,BRA,Brazil,39929,29496,kg,1.35370897748847
1998,GHA,Ghana,36498,20000,kg,1.8249
1998,GHA,Ghana,3152000,4602000,kg,0.684919600173838
1998,BRA,Brazil,13701350,10700000,kg,1.2805
1998,IDN,Indonesia,5249940,3353375,kg,1.56556901628956
1998,IDN,Indonesia,172352,110125,kg,1.56505788876277
1998,BRA,Brazil,34992,36449,kg,0.960026338171143
1998,IDN,Indonesia,147091,100101,kg,1.46942587986134
1998,CIV,C矌e d'Ivoire,196981,130031,kg,1.51487722158562
1999,BRA,Brazil,21099345,25161585,kg,0.838553890782318
1999,BRA,Brazil,49483360,44588696,kg,1.10977365204849
1999,GHA,Ghana,579856,1778687,kg,0.326002270213927
1999,IDN,Indonesia,3557903,3765812,kg,0.944790393147613
1999,IDN,Indonesia,563851,447500,kg,1.26000223463687
1999,CIV,C矌e d'Ivoire,598063,510000,kg,1.17267254901961
2000,NGA,Nigeria,24155,24700,kg,0.977935222672065
2000,IDN,Indonesia,85077,100050,kg,0.850344827586207
2000,IDN,Indonesia,2024287,2350000,kg,0.861398723404255
2000,BRA,Brazil,18621508,25948760,kg,0.717626121633558
2000,BRA,Brazil,27638349,36661625,kg,0.753876812607188
2000,IDN,Indonesia,5691552,7182175,kg,0.792455210294932
2000,CIV,C矌e d'Ivoire,729,20744,kg,0.0351426918627073
2000,GHA,Ghana,921,500,kg,1.842
2000,IDN,Indonesia,1444286,1567102,kg,0.921628585758936
2000,IDN,Indonesia,54804,80000,kg,0.68505
2000,CIV,C矌e d'Ivoire,231284,240991,kg,0.959720487487085
2001,IDN,Indonesia,103179,101430,kg,1.01724341910677
2001,CIV,C矌e d'Ivoire,236882,175719,kg,1.34807277528326
2001,IDN,Indonesia,2230826,2200000,kg,1.01401181818182
2001,BRA,Brazil,10589649,11116134,kg,0.952637760573955
2001,BRA,Brazil,10000602,12005514,kg,0.833000736161734
2001,IDN,Indonesia,10024519,10379842,kg,0.965767976044337
2001,IDN,Indonesia,52500,50429,kg,1.04106763965179
2001,NGA,Nigeria,2324,574,kg,4.04878048780488
2001,BRA,Brazil,2384490,2121414,kg,1.12400974067297
2001,IDN,Indonesia,316200,316400,kg,0.99936788874842
2001,IDN,Indonesia,211149,300000,kg,0.70383
2001,BRA,Brazil,65532,360000,kg,0.182033333333333
2002,IDN,Indonesia,2585126,2257415,kg,1.14517091451948
2002,IDN,Indonesia,45602,39000,kg,1.16928205128205
2002,NGA,Nigeria,1599388,1003200,kg,1.59428628389155
2002,CIV,C矌e d'Ivoire,15594,9541,kg,1.6344198721308
2002,BRA,Brazil,100105839,64636349,kg,1.54875454057592
2002,BRA,Brazil,9963562,6306300,kg,1.57993783993784
2002,IDN,Indonesia,16921492,10016963,kg,1.68928366811378
2002,IDN,Indonesia,1332152,1078000,kg,1.23576252319109
2002,IDN,Indonesia,6403685,41883160,kg,0.152894027098242
2002,NGA,Nigeria,687,1600,kg,0.429375
2002,CIV,C矌e d'Ivoire,104395,50120,kg,2.08290103750998
2002,GHA,Ghana,3000,1776,kg,1.68918918918919
2003,IDN,Indonesia,448499,287937,kg,1.55762892577196
2003,IDN,Indonesia,14571,12540,kg,1.16196172248804
2003,BRA,Brazil,31240135,19997008,kg,1.56224046117299
2003,BRA,Brazil,30618788,14014000,kg,2.18487141429999
2003,IDN,Indonesia,27949010,13464101,kg,2.07581701890085
2003,IDN,Indonesia,440482,285,kg,1545.55087719298
2003,CIV,C矌e d'Ivoire,134549,224000,kg,0.600665178571429
2003,GHA,Ghana,13572,300,kg,45.24
2003,IDN,Indonesia,117627,101752,kg,1.15601658935451
2003,IDN,Indonesia,4378893,12614000,kg,0.347145473283653
2003,NGA,Nigeria,26,20,kg,1.3
2003,IDN,Indonesia,400396,225000,kg,1.77953777777778
2003,CIV,C矌e d'Ivoire,34638,992150,kg,0.0349120596683969
2004,IDN,Indonesia,38304,30000,kg,1.2768
2004,IDN,Indonesia,63822,50160,kg,1.27236842105263
2004,IDN,Indonesia,2945877,1800000,kg,1.63659833333333
2004,BRA,Brazil,20532746,15280019,kg,1.34376442856517
2004,BRA,Brazil,13314786,8008000,kg,1.66268556443556
2004,GHA,Ghana,43421,25000,kg,1.73684
2004,IDN,Indonesia,38899127,25213659,kg,1.54277992734018
2004,IDN,Indonesia,3566493,2108160,kg,1.69175631830601
2004,CIV,C矌e d'Ivoire,90407.803,53000,kg,1.70580760377359
2004,IDN,Indonesia,10242664,184081152,kg,0.0556421115834825
2004,GHA,Ghana,30919,815442,kg,0.0379168598134509
2004,CIV,C矌e d'Ivoire,25870,682758,kg,0.0378904384862572
2005,IDN,Indonesia,244670,160020,kg,1.52899637545307
2005,IDN,Indonesia,233488,206250,kg,1.13206303030303
2005,IDN,Indonesia,296900,225720,kg,1.31534644692539
2005,IDN,Indonesia,2690358,1691399,kg,1.5906110858526
2005,BRA,Brazil,35693465,27600051,kg,1.29323909582631
2005,BRA,Brazil,22940177,16016000,kg,1.43232873376623
2005,IDN,Indonesia,20069289,13790574,kg,1.45529033091734
2005,IDN,Indonesia,115591,80000,kg,1.4448875
2005,IDN,Indonesia,93681,148000,kg,0.63297972972973
2005,CIV,C矌e d'Ivoire,87723,2318361,kg,0.0378383694342684
2005,CIV,C矌e d'Ivoire,169433.505,521600,kg,0.324834173696319
2006,IDN,Indonesia,1550818,1203840,kg,1.28822601010101
2006,IDN,Indonesia,9473997,6150000,kg,1.54048731707317
2006,BRA,Brazil,83771800,63799339,kg,1.3130512214241
2006,BRA,Brazil,25027830,16997776,kg,1.47241792102684
2006,GHA,Ghana,69885,40420,kg,1.72897080653142
2006,IDN,Indonesia,13137948,8708700,kg,1.50860036515209
2006,IDN,Indonesia,3240694,501400320,kg,0.00646328666084617
2006,BRA,Brazil,34361,120000,kg,0.286341666666667
2006,GHA,Ghana,43972,25106,kg,1.75145383573648
2006,IDN,Indonesia,385739,256436,kg,1.50423107520005
2007,BRA,Brazil,2136,644,kg,3.3167701863354
2007,IDN,Indonesia,3046390,1805760,kg,1.68704035973773
2007,BRA,Brazil,285417,38100,kg,7.49125984251969
2007,IDN,Indonesia,2420381,1525000,kg,1.58713508196721
2007,BRA,Brazil,75021934,42087440,kg,1.78252547553379
2007,BRA,Brazil,58956770,33633600,kg,1.75291286094858
2007,IDN,Indonesia,20838960,11786578,kg,1.76802461240234
2007,IDN,Indonesia,778638,399380,kg,1.94961690620462
2007,CIV,C矌e d'Ivoire,2554291,1238770,kg,2.06195742551079
2007,GHA,Ghana,538952,352513,kg,1.52888545954334
2007,GHA,Ghana,19004,8249,kg,2.30379439932113
2007,IDN,Indonesia,195701,128003,kg,1.5288782294165
2007,CIV,C矌e d'Ivoire,54913,25000,kg,2.19652
2007,IDN,Indonesia,124.962,12,kg,10.4135
2008,BRA,Brazil,1024,160,kg,6.4
2008,IDN,Indonesia,3651498,1755600,kg,2.07991455912509
2008,BRA,Brazil,141611,16000,kg,8.8506875
2008,BRA,Brazil,8109247,4250000,kg,1.90805811764706
2008,IDN,Indonesia,631808,300000,kg,2.10602666666667
2008,BRA,Brazil,68172966,29917590,kg,2.27869176628198
2008,BRA,Brazil,74707958.713,34634600,kg,2.15703252565354
2008,IDN,Indonesia,19634289.236,9409410,kg,2.08666528889697
2008,GHA,Ghana,10842166,5792149,kg,1.87187277122878
2008,IDN,Indonesia,2937,412,kg,7.12864077669903
2008,GHA,Ghana,4902479.092,1561832,kg,3.1389285736238
2008,NGA,Nigeria,78923,16500,kg,4.78321212121212
2009,BRA,Brazil,2398,540,kg,4.44074074074074
2009,IDN,Indonesia,5592222.998,2343498,kg,2.38627171774843
2009,IDN,Indonesia,762428,300960,kg,2.53332004253057
2009,NGA,Nigeria,1389,528,kg,2.63068181818182
2009,BRA,Brazil,5853501,2000000,kg,2.9267505
2009,IDN,Indonesia,18587452,7025000,kg,2.6459006405694
2009,BRA,Brazil,103380375,41646503,kg,2.48233026912248
2009,BRA,Brazil,73505121.291,27352300,kg,2.68734699791242
2009,GHA,Ghana,55,36,kg,1.52777777777778
2009,IDN,Indonesia,6381112.391,2155140,kg,2.96088068106944
2009,IDN,Indonesia,193628,73500,kg,2.63439455782313
