Entity,Code,Year,Cocoa beans | 00000661 || Yield | 005412 || tonnes per hectare
Africa,,1961,0.25366452
Africa,,1962,0.25812587
Africa,,1963,0.27189812
Africa,,1964,0.3454954
Africa,,1965,0.25376955
Africa,,1966,0.3216389
Africa,,1967,0.31542847
Africa,,1968,0.28593194
Africa,,1969,0.3190083
Africa,,1970,0.3505052
Africa,,1971,0.3598554
Africa,,1972,0.32887822
Africa,,1973,0.30317125
Africa,,1974,0.32545125
Africa,,1975,0.3154821
Africa,,1976,0.27675855
Africa,,1977,0.28694382
Africa,,1978,0.27461606
Africa,,1979,0.3017154
Africa,,1980,0.29889432
Africa,,1981,0.30484226
Africa,,1982,0.27415153
Africa,,1983,0.28313315
Africa,,1984,0.3330537
Africa,,1985,0.32030505
Africa,,1986,0.33735985
Africa,,1987,0.35335505
Africa,,1988,0.41447935
Africa,,1989,0.4369935
Africa,,1990,0.42029488
Africa,,1991,0.41491923
Africa,,1992,0.45072305
Africa,,1993,0.44672507
Africa,,1994,0.45077142
Africa,,1995,0.45085627
Africa,,1996,0.48401922
Africa,,1997,0.46085116
Africa,,1998,0.4819286
Africa,,1999,0.44037774
Africa,,2000,0.4652488
Africa,,2001,0.45412645
Africa,,2002,0.4610838
Africa,,2003,0.474998
Africa,,2004,0.4812051
Africa,,2005,0.46065193
Africa,,2006,0.49271291
Africa,,2007,0.42305663
Africa,,2008,0.44277954
Africa,,2009,0.4464991
Africa,,2010,0.4497664
Africa,,2011,0.46436077
Africa,,2012,0.4752889
Africa,,2013,0.4629323
Africa,,2014,0.4631854
Africa,,2015,0.46640217
Africa,,2016,0.4769247
Africa,,2017,0.47132686
Africa,,2018,0.4816185
Africa,,2019,0.48140535
Africa,,2020,0.47107673
Africa,,2021,0.47863704
Africa,,2022,0.4718002
Africa,,2023,0.470358
Africa (FAO),,1961,0.25370002
Africa (FAO),,1962,0.25810003
Africa (FAO),,1963,0.2719
Africa (FAO),,1964,0.34550002
Africa (FAO),,1965,0.2538
Africa (FAO),,1966,0.32160002
Africa (FAO),,1967,0.3154
Africa (FAO),,1968,0.2859
Africa (FAO),,1969,0.319
Africa (FAO),,1970,0.35050002
Africa (FAO),,1971,0.3599
Africa (FAO),,1972,0.3289
Africa (FAO),,1973,0.30320004
Africa (FAO),,1974,0.3255
Africa (FAO),,1975,0.31550002
Africa (FAO),,1976,0.2768
Africa (FAO),,1977,0.2869
Africa (FAO),,1978,0.27460003
Africa (FAO),,1979,0.30170003
Africa (FAO),,1980,0.2989
Africa (FAO),,1981,0.3048
Africa (FAO),,1982,0.27420002
Africa (FAO),,1983,0.2831
Africa (FAO),,1984,0.33310002
Africa (FAO),,1985,0.3203
Africa (FAO),,1986,0.33740002
Africa (FAO),,1987,0.35340002
Africa (FAO),,1988,0.41450003
Africa (FAO),,1989,0.437
Africa (FAO),,1990,0.4203
Africa (FAO),,1991,0.4149
Africa (FAO),,1992,0.45070004
Africa (FAO),,1993,0.44670004
Africa (FAO),,1994,0.4508
Africa (FAO),,1995,0.45090002
Africa (FAO),,1996,0.48400003
Africa (FAO),,1997,0.4609
Africa (FAO),,1998,0.4819
Africa (FAO),,1999,0.4404
Africa (FAO),,2000,0.46520004
Africa (FAO),,2001,0.4541
Africa (FAO),,2002,0.46110004
Africa (FAO),,2003,0.47500002
Africa (FAO),,2004,0.48120004
Africa (FAO),,2005,0.46070004
Africa (FAO),,2006,0.49270004
Africa (FAO),,2007,0.42310002
Africa (FAO),,2008,0.44280002
Africa (FAO),,2009,0.44650003
Africa (FAO),,2010,0.4498
Africa (FAO),,2011,0.46440002
Africa (FAO),,2012,0.4753
Africa (FAO),,2013,0.4629
Africa (FAO),,2014,0.46320003
Africa (FAO),,2015,0.46640003
Africa (FAO),,2016,0.4769
Africa (FAO),,2017,0.4713
Africa (FAO),,2018,0.48160002
Africa (FAO),,2019,0.4814
Africa (FAO),,2020,0.47110003
Africa (FAO),,2021,0.47860003
Africa (FAO),,2022,0.4718
Africa (FAO),,2023,0.4704
Americas (FAO),,1961,0.31550002
Americas (FAO),,1962,0.3078
Americas (FAO),,1963,0.3124
Americas (FAO),,1964,0.32060003
Americas (FAO),,1965,0.3023
Americas (FAO),,1966,0.34780002
Americas (FAO),,1967,0.3658
Americas (FAO),,1968,0.3555
Americas (FAO),,1969,0.36740002
Americas (FAO),,1970,0.35810003
Americas (FAO),,1971,0.39540002
Americas (FAO),,1972,0.41470003
Americas (FAO),,1973,0.386
Americas (FAO),,1974,0.4194
Americas (FAO),,1975,0.47160003
Americas (FAO),,1976,0.42490003
Americas (FAO),,1977,0.44160002
Americas (FAO),,1978,0.46040002
Americas (FAO),,1979,0.50630003
Americas (FAO),,1980,0.4875
Americas (FAO),,1981,0.48110002
Americas (FAO),,1982,0.49
Americas (FAO),,1983,0.45260003
Americas (FAO),,1984,0.44590002
Americas (FAO),,1985,0.54200006
Americas (FAO),,1986,0.5098
Americas (FAO),,1987,0.39350003
Americas (FAO),,1988,0.4513
Americas (FAO),,1989,0.46970004
Americas (FAO),,1990,0.37260002
Americas (FAO),,1991,0.42260003
Americas (FAO),,1992,0.4059
Americas (FAO),,1993,0.41590002
Americas (FAO),,1994,0.41260004
Americas (FAO),,1995,0.3754
Americas (FAO),,1996,0.37110004
Americas (FAO),,1997,0.37050003
Americas (FAO),,1998,0.3543
Americas (FAO),,1999,0.33320004
Americas (FAO),,2000,0.2688
Americas (FAO),,2001,0.2953
Americas (FAO),,2002,0.3053
Americas (FAO),,2003,0.333
Americas (FAO),,2004,0.34270003
Americas (FAO),,2005,0.33170003
Americas (FAO),,2006,0.34070003
Americas (FAO),,2007,0.3359
Americas (FAO),,2008,0.3443
Americas (FAO),,2009,0.3785
Americas (FAO),,2010,0.39630002
Americas (FAO),,2011,0.40810004
Americas (FAO),,2012,0.40270004
Americas (FAO),,2013,0.39710003
Americas (FAO),,2014,0.43
Americas (FAO),,2015,0.44160002
Americas (FAO),,2016,0.40330002
Americas (FAO),,2017,0.49690002
Americas (FAO),,2018,0.5177
Americas (FAO),,2019,0.54420006
Americas (FAO),,2020,0.53040004
Americas (FAO),,2021,0.5289
Americas (FAO),,2022,0.5565
Americas (FAO),,2023,0.5644001
Angola,AGO,1961,0.25
Angola,AGO,1962,0.25
Angola,AGO,1963,0.2143
Angola,AGO,1964,0.2143
Angola,AGO,1965,0.28570002
Angola,AGO,1966,0.2143
Angola,AGO,1967,0.28570002
Angola,AGO,1968,0.25
Angola,AGO,1969,0.15
Angola,AGO,1970,0.11130001
Angola,AGO,1971,0.2457
Angola,AGO,1972,0.28570002
Angola,AGO,1973,0.23330002
Angola,AGO,1974,0.23810002
Angola,AGO,1975,0.23810002
Angola,AGO,1976,0.1429
Angola,AGO,1977,0.1429
Angola,AGO,1978,0.10530001
Angola,AGO,1979,0.10530001
Angola,AGO,1980,0.10530001
Angola,AGO,1981,0.10530001
Angola,AGO,1982,0.10530001
Angola,AGO,1983,0.10530001
Angola,AGO,1984,0.055600002
Angola,AGO,1985,0.055600002
Angola,AGO,1986,0.055600002
Angola,AGO,1987,0.055600002
Angola,AGO,1988,0.055600002
Angola,AGO,1989,0.055600002
Angola,AGO,1990,0.052200004
Angola,AGO,1991,0.07980001
Angola,AGO,1992,0.090900004
Angola,AGO,1993,0.077300005
Angola,AGO,1994,0.076900005
Angola,AGO,1995,0.0768
Angola,AGO,1996,0.0772
Angola,AGO,1997,0.0719
Angola,AGO,1998,0.0787
Angola,AGO,1999,0.0667
Angola,AGO,2000,0.090900004
Angola,AGO,2001,0.09550001
Angola,AGO,2002,0.090500005
Angola,AGO,2003,0.090900004
Angola,AGO,2004,0.102900006
Angola,AGO,2005,0.1067
Angola,AGO,2006,0.110800005
Angola,AGO,2007,0.11800001
Angola,AGO,2008,0.12280001
Angola,AGO,2009,0.12750001
Angola,AGO,2010,0.13210002
Angola,AGO,2011,0.13630001
Angola,AGO,2012,0.16000001
Angola,AGO,2013,0.16080001
Angola,AGO,2014,0.1534
Angola,AGO,2015,0.15100001
Angola,AGO,2016,0.162
Angola,AGO,2017,0.1624
Angola,AGO,2018,0.1609
Angola,AGO,2019,0.16350001
Angola,AGO,2020,0.16100001
Angola,AGO,2021,0.1619
Angola,AGO,2022,0.16210002
Angola,AGO,2023,0.16170001
Asia,,1961,0.26416487
Asia,,1962,0.2651488
Asia,,1963,0.28967553
Asia,,1964,0.29577848
Asia,,1965,0.27771997
Asia,,1966,0.30557
Asia,,1967,0.3018604
Asia,,1968,0.31668752
Asia,,1969,0.33153147
Asia,,1970,0.36217216
Asia,,1971,0.3631838
Asia,,1972,0.28067976
Asia,,1973,0.42148423
Asia,,1974,0.5396172
Asia,,1975,0.5592501
Asia,,1976,0.54634947
Asia,,1977,0.52718705
Asia,,1978,0.67622936
Asia,,1979,0.7567913
Asia,,1980,0.6650112
Asia,,1981,0.74130553
Asia,,1982,0.7917121
Asia,,1983,0.7205833
Asia,,1984,0.72310096
Asia,,1985,0.7774379
Asia,,1986,0.7416019
Asia,,1987,0.8018622
Asia,,1988,0.84672433
Asia,,1989,0.8348295
Asia,,1990,0.81213313
Asia,,1991,0.6754993
Asia,,1992,0.72731566
Asia,,1993,0.73994356
Asia,,1994,0.6572914
Asia,,1995,0.7147386
Asia,,1996,0.8126629
Asia,,1997,0.8062666
Asia,,1998,1.0155017
Asia,,1999,0.582943
Asia,,2000,0.59117156
Asia,,2001,0.71359646
Asia,,2002,0.7946615
Asia,,2003,0.717421
Asia,,2004,0.6332083
Asia,,2005,0.63881046
Asia,,2006,0.8351591
Asia,,2007,0.79562
Asia,,2008,0.5693912
Asia,,2009,0.51253915
Asia,,2010,0.508597
Asia,,2011,0.40484816
Asia,,2012,0.39363435
Asia,,2013,0.4054466
Asia,,2014,0.41169256
Asia,,2015,0.33950493
Asia,,2016,0.3761688
Asia,,2017,0.34796444
Asia,,2018,0.4571234
Asia,,2019,0.4544868
Asia,,2020,0.46039405
Asia,,2021,0.44082573
Asia,,2022,0.4405835
Asia,,2023,0.43879208
Asia (FAO),,1961,0.26420003
Asia (FAO),,1962,0.26510003
Asia (FAO),,1963,0.28970003
Asia (FAO),,1964,0.2958
Asia (FAO),,1965,0.27770004
Asia (FAO),,1966,0.30560002
Asia (FAO),,1967,0.3019
Asia (FAO),,1968,0.31670004
Asia (FAO),,1969,0.33150002
Asia (FAO),,1970,0.36220002
Asia (FAO),,1971,0.36320004
Asia (FAO),,1972,0.28070003
Asia (FAO),,1973,0.42150003
Asia (FAO),,1974,0.5396
Asia (FAO),,1975,0.5593
Asia (FAO),,1976,0.5463
Asia (FAO),,1977,0.52720004
Asia (FAO),,1978,0.67620003
Asia (FAO),,1979,0.7568
Asia (FAO),,1980,0.665
Asia (FAO),,1981,0.74130005
Asia (FAO),,1982,0.79170007
Asia (FAO),,1983,0.7206
Asia (FAO),,1984,0.7231
Asia (FAO),,1985,0.7774001
Asia (FAO),,1986,0.74160004
Asia (FAO),,1987,0.8019001
Asia (FAO),,1988,0.8467001
Asia (FAO),,1989,0.8348
Asia (FAO),,1990,0.8121
Asia (FAO),,1991,0.67550004
Asia (FAO),,1992,0.72730005
Asia (FAO),,1993,0.73990005
Asia (FAO),,1994,0.6573
Asia (FAO),,1995,0.71470004
Asia (FAO),,1996,0.81270003
Asia (FAO),,1997,0.80630004
Asia (FAO),,1998,1.0155001
Asia (FAO),,1999,0.58290005
Asia (FAO),,2000,0.59120005
Asia (FAO),,2001,0.7136
Asia (FAO),,2002,0.7947
Asia (FAO),,2003,0.7174001
Asia (FAO),,2004,0.63320005
Asia (FAO),,2005,0.6388
Asia (FAO),,2006,0.8352001
Asia (FAO),,2007,0.7956
Asia (FAO),,2008,0.5694001
Asia (FAO),,2009,0.51250005
Asia (FAO),,2010,0.50860006
Asia (FAO),,2011,0.4048
Asia (FAO),,2012,0.39360002
Asia (FAO),,2013,0.4054
Asia (FAO),,2014,0.41170004
Asia (FAO),,2015,0.3395
Asia (FAO),,2016,0.37620002
Asia (FAO),,2017,0.34800002
