"refYear","partnerDesc","Avg_Price_Per_Unit","fact_id","country_id","date_id","Production (tonnes)","Yield (tonnes/hectare)","yearly_avg_temperature","yearly_min_temperature","yearly_max_temperature","yearly_min_rainfall","yearly_max_rainfall","yearly_avg_rainfall","yearly_total_rainfall"
1994,"Brazil",1.2174,1,5,1994,330577,0.47320002,24.648493150684935,18.7,28.9,0,44,5.2873972602739725,1929.9
1995,"Brazil",1.0387021185199043,2,5,1995,296705,0.40170002,25.016164383561645,21.8,29.7,0,35.5,5.19041095890411,1894.5
1997,"Brazil",1.51134947449922,3,5,1997,277966,0.38840002,25.242191780821916,21.5,30.9,0,36.7,4.567671232876712,1667.2
1998,"Brazil",1.1202631690855716,4,5,1998,280801,0.39560002,25.90164383561644,22.7,29.4,0,39,4.1997260273972605,1532.9
1999,"Brazil",0.974163771415404,5,5,1999,205003,0.30100003,24.843287671232876,21.4,29.7,0,50.9,4.935342465753425,1801.4
2000,"Brazil",0.735751467120373,6,5,2000,196788,0.2788,24.831967213114755,21,29.5,0,66,5.038524590163934,1844.1
2001,"Brazil",0.7729203926854981,7,5,2001,185662,0.2789,24.94438356164384,22.2,28.8,0,33.3,4.704383561643835,1717.1
2002,"Brazil",1.56434619025688,8,5,2002,174796,0.30020002,25.683287671232875,21.9,29.7,0,38.6,3.7994520547945205,1386.8
2003,"Brazil",1.87355593773649,9,5,2003,170004,0.28770003,24.946849315068494,22,29,0,30.3,4.718082191780821,1722.1
2004,"Brazil",1.503224996500365,10,5,2004,196005,0.3068,25.071584699453553,22,28.8,0,43.6,5.331420765027322,1951.3
2005,"Brazil",1.36278391479627,11,5,2005,208620,0.3336,25.343013698630138,20.5,30.6,0,50.7,5.982739726027397,2183.7
2006,"Brazil",1.0239369363725357,12,5,2006,212270,0.328,25.044109589041096,21.5,29.5,0,41.8,4.82027397260274,1759.4
2007,"Brazil",3.5858670913343653,13,5,2007,201651,0.32060003,25.377808219178082,22.3,29,0,32.3,4.48054794520548,1635.4
2008,"Brazil",3.185945602395645,14,5,2008,202030,0.31500003,25.078688524590163,21.6,29.9,0,71.4,5.481693989071038,2006.3
2009,"Brazil",3.13429212694391,15,5,2009,218487,0.34350002,25.001643835616438,22,28.9,0,38.3,5.48986301369863,2003.8
2010,"Brazil",2.5999916390634747,16,5,2010,235389,0.3563,25.9572602739726,21.7,30.3,0,84.2,5.050684931506849,1843.5
2011,"Brazil",4.01129711759194,17,5,2011,248524,0.36520004,25.088219178082195,21.6,30.8,0,47,5.2534246575342465,1917.5
2012,"Brazil",2.7015264464366484,18,5,2012,253211,0.37,25.1396174863388,21.6,30.2,0,49.9,4.983333333333333,1823.9
2013,"Brazil",3.36849102092429,19,5,2013,256186,0.37170002,25.236712328767123,21.4,29,0,130.4,5.834794520547945,2129.7
2014,"Brazil",5.0764316000323255,20,5,2014,273793,0.3888,25.40767123287671,21.2,29.4,0,39.2,4.613972602739726,1684.1
2015,"Brazil",3.4853446360227247,21,5,2015,278299,0.39600003,25.85753424657534,22.2,30.7,0,40.7,3.887123287671233,1418.8
2016,"Brazil",3.653938604516553,22,5,2016,213871,0.29700002,26.01775956284153,22.8,29.8,0,67.4,4.743715846994536,1736.2
2017,"Brazil",4.296545384593464,23,5,2017,235809,0.39910004,25.384931506849316,21.8,30,0,35.1,4.676986301369863,1707.1
2018,"Brazil",2.6608941686683893,24,5,2018,239318,0.4146,24.936712328767122,22.1,28.3,0,56.2,4.91013698630137,1792.2
2019,"Brazil",3.026257186884609,25,5,2019,259451,0.44590002,25.2441095890411,22.9,29.4,0,105.3,4.465479452054795,1629.9
2020,"Brazil",3.033856325325887,26,5,2020,269740,0.4584,25.28087431693989,22,29.9,0,62.6,4.643169398907104,1699.4
